Route,Origin,Destination,DepartureTime,ArrivalTime,Passengers,Distance_km,Delay_min,FuelUsed_Liters,Revenue_USD
Route E,New York,Los Angeles,2025-01-01 16:00:00,2025-01-01 19:00:00,136,80.72,0,11.89,1587.42
Route B,Boston,Seattle,2025-01-01 16:15:00,2025-01-02 01:00:00,200,317.87,15,23.42,2726.39
Route B,San Francisco,Chicago,2025-01-01 06:45:00,2025-01-01 10:00:00,24,836.44,10,42.44,732.72
Route C,Boston,Seattle,2025-01-01 12:00:00,2025-01-01 22:45:00,182,852.91,60,52.52,5555.71
Route C,Miami,Seattle,2025-01-01 21:30:00,2025-01-02 00:15:00,59,965.11,0,57.22,2323.32
Route D,New York,Seattle,2025-01-01 09:15:00,2025-01-01 18:30:00,146,790.55,15,113.24,2714.56
Route E,Miami,Boston,2025-01-01 09:45:00,2025-01-01 11:15:00,179,461.44,0,53.81,5368.78
Route A,Los Angeles,Houston,2025-01-01 11:15:00,2025-01-01 16:45:00,124,276.43,10,37.4,5414.76
Route B,San Francisco,Los Angeles,2025-01-01 06:45:00,2025-01-01 13:00:00,196,889.87,30,79.81,9534.23
Route D,Miami,Seattle,2025-01-01 11:45:00,2025-01-01 17:30:00,57,54.27,0,3.78,1077.33
Route C,New York,Miami,2025-01-01 20:00:00,2025-01-02 03:45:00,123,671.25,5,76.8,4348.68
Route C,Seattle,Boston,2025-01-01 10:00:00,2025-01-01 19:15:00,110,573.7,60,47.32,3639.63
Route B,San Francisco,Seattle,2025-01-01 06:00:00,2025-01-01 15:30:00,36,609.52,45,32.86,743.05
Route B,Miami,New York,2025-01-01 20:00:00,2025-01-02 02:15:00,119,166.06,0,21.03,5242.92
Route C,Los Angeles,San Francisco,2025-01-01 13:45:00,2025-01-01 20:30:00,140,87.79,60,10.09,6994.43
Route B,Seattle,Boston,2025-01-01 07:30:00,2025-01-01 15:45:00,90,785.92,30,92.71,4307.55
Route B,Chicago,Houston,2025-01-01 22:45:00,2025-01-02 08:30:00,138,417.83,0,39.83,6069.47
Route E,San Francisco,Miami,2025-01-01 17:30:00,2025-01-01 20:30:00,174,408.79,0,25.72,8391.27
Route D,San Francisco,Boston,2025-01-01 22:30:00,2025-01-02 02:45:00,125,252.95,60,16.08,4768.64
Route C,Miami,New York,2025-01-01 16:45:00,2025-01-01 19:30:00,187,861.79,0,119.88,5222.78
Route E,Miami,Chicago,2025-01-01 10:15:00,2025-01-01 20:30:00,101,439.51,0,38.45,1480.31
Route A,Seattle,Boston,2025-01-01 07:15:00,2025-01-01 12:45:00,22,430.96,45,43.51,1069.92
Route E,San Francisco,Houston,2025-01-01 16:45:00,2025-01-02 00:15:00,33,908.42,0,132.29,1032.75
Route B,New York,San Francisco,2025-01-01 17:00:00,2025-01-02 02:30:00,70,950.2,15,95.82,3165.9
Route A,Miami,Houston,2025-01-01 13:00:00,2025-01-01 22:30:00,146,661.67,0,98.78,4025.31
Route C,New York,Miami,2025-01-01 09:00:00,2025-01-01 13:30:00,103,882.54,5,62.99,3556.13
Route B,New York,Houston,2025-01-01 17:45:00,2025-01-01 23:30:00,103,987.51,5,146.08,4402.82
Route D,Houston,New York,2025-01-01 05:00:00,2025-01-01 14:00:00,125,820.43,15,93.48,2600.55
Route E,New York,Seattle,2025-01-01 21:00:00,2025-01-02 06:15:00,166,595.76,15,74.88,7461.67
Route D,Los Angeles,Miami,2025-01-01 08:45:00,2025-01-01 17:00:00,153,843.94,10,42.27,2494.67
Route D,New York,Los Angeles,2025-01-01 19:30:00,2025-01-01 22:00:00,106,605.18,5,84.29,1476.34
Route D,Chicago,New York,2025-01-01 22:15:00,2025-01-02 03:45:00,182,919.32,60,46.49,7721.08
Route B,Boston,Seattle,2025-01-01 06:45:00,2025-01-01 15:30:00,64,380.8,60,50.96,1038.62
Route A,Houston,San Francisco,2025-01-01 05:00:00,2025-01-01 13:00:00,63,74.39,0,7.44,1361.74
Route B,New York,San Francisco,2025-01-01 08:15:00,2025-01-01 13:15:00,59,636.64,60,36.06,1802.13
Route A,Boston,New York,2025-01-01 10:15:00,2025-01-01 18:15:00,183,220.52,60,27.25,3210.33
Route A,Chicago,Boston,2025-01-01 19:15:00,2025-01-02 03:15:00,93,959.63,45,70.39,1357.28
Route A,Seattle,Chicago,2025-01-01 18:15:00,2025-01-01 19:15:00,50,375.31,0,30.52,1043.12
Route E,Seattle,Miami,2025-01-01 06:15:00,2025-01-01 15:30:00,62,759.5,0,88.31,1548.38
Route D,Miami,New York,2025-01-01 13:00:00,2025-01-01 20:15:00,48,106.57,15,7.29,2046.02
Route D,Houston,New York,2025-01-01 09:45:00,2025-01-01 15:45:00,52,322.71,0,40.28,1548.34
Route D,Los Angeles,Boston,2025-01-01 17:15:00,2025-01-01 22:45:00,139,64.69,15,6.24,5600.7
Route D,Miami,Chicago,2025-01-01 19:30:00,2025-01-02 04:15:00,87,677.74,45,35.07,2895.52
Route A,Boston,Houston,2025-01-01 06:00:00,2025-01-01 09:15:00,132,490.04,0,35.39,2007.34
Route E,New York,Chicago,2025-01-01 15:30:00,2025-01-01 18:45:00,79,328.92,10,42.35,1395.54
Route A,Miami,New York,2025-01-01 06:00:00,2025-01-01 10:30:00,170,656.64,45,77.09,6872.68
Route D,Boston,Seattle,2025-01-01 17:45:00,2025-01-01 21:15:00,148,752.32,5,79.74,6799.14
